page,paragraph,image_name
17,"This book is concerned with the nuts and bolts of manipulating, processing, cleaning, and crunching data in Python. It is also a practical, modern introduction to scientific computing in Python, tailored for data-intensive applications. This is a book about the parts of the Python language and libraries you’ll need to effectively solve a broad set of data analysis problems. This book is  not  an exposition on analytical methods using Python as the implementation language.",
17,"When I say “data”, what am I referring to exactly? The primary focus is on  structured data , a deliberately vague term that encompasses many different common forms of data, such as",
17,"• Multidimensional arrays (matrices) • Tabular or spreadsheet-like data in which each column may be a different type (string, numeric, date, or otherwise). This includes most kinds of data commonly stored in relational databases or tab- or comma-delimited text files • Multiple tables of data interrelated by key columns (what would be primary or foreign keys for a SQL user) • Evenly or unevenly spaced time series",
17,"This is by no means a complete list. Even though it may not always be obvious, a large percentage of data sets can be transformed into a structured form that is more suitable for analysis and modeling. If not, it may be possible to extract features from a data set into a structured form. As an example, a collection of news articles could be processed into a word frequency table which could then be used to perform sentiment analysis.",
17,"Most users of spreadsheet programs like Microsoft Excel, perhaps the most widely used data analysis tool in the world, will not be strangers to these kinds of data.",
17,1,
18,Why Python for Data Analysis?,
18,"For many people (myself among them), the Python language is easy to fall in love with. Since its first appearance in 1991, Python has become one of the most popular dynamic, programming languages, along with Perl, Ruby, and others. Python and Ruby have become especially popular in recent years for building websites using their numerous web frameworks, like Rails (Ruby) and Django (Python). Such languages are often called  scripting  languages as they can be used to write quick-and-dirty small programs, or  scripts . I don’t like the term “scripting language” as it carries a connotation that they cannot be used for building mission-critical software. Among interpreted languages Python is distinguished by its large and active  scientific computing  community. Adop- tion of Python for scientific computing in both industry applications and academic research has increased significantly since the early 2000s.",
18,"For data analysis and interactive, exploratory computing and data visualization, Python will inevitably draw comparisons with the many other domain-specific open source and commercial programming languages and tools in wide use, such as R, MATLAB, SAS, Stata, and others. In recent years, Python’s improved library support (primarily pandas) has made it a strong alternative for data manipulation tasks. Combined with Python’s strength in general purpose programming, it is an excellent choice as a single language for building data-centric applications.",
18,Python as Glue,
18,"Part of Python’s success as a scientific computing platform is the ease of integrating C, C++, and FORTRAN code. Most modern computing environments share a similar set of legacy FORTRAN and C libraries for doing linear algebra, optimization, integration, fast fourier transforms, and other such algorithms. The same story has held true for many companies and national labs that have used Python to glue together 30 years’ worth of legacy software.",
18,"Most programs consist of small portions of code where most of the time is spent, with large amounts of “glue code” that doesn’t run often. In many cases, the execution time of the glue code is insignificant; effort is most fruitfully invested in optimizing the computational bottlenecks, sometimes by moving the code to a lower-level language like C.",
18,"In the last few years, the Cython project ( http://cython.org ) has become one of the preferred ways of both creating fast compiled extensions for Python and also interfacing with C and C++ code.",
18,Solving the “Two-Language” Problem,
18,"In many organizations, it is common to research, prototype, and test new ideas using a more domain-specific computing language like MATLAB or R then later port those",
18,2 | Chapter 1:   Preliminaries,
19,"ideas to be part of a larger production system written in, say, Java, C#, or C++. What people are increasingly finding is that Python is a suitable language not only for doing research and prototyping but also building the production systems, too. I believe that more and more companies will go down this path as there are often significant organ- izational benefits to having both scientists and technologists using the same set of pro- grammatic tools.",
19,Why Not Python?,
19,"While Python is an excellent environment for building computationally-intensive sci- entific applications and building most kinds of general purpose systems, there are a number of uses for which Python may be less suitable.",
19,"As Python is an interpreted programming language, in general most Python code will run substantially slower than code written in a compiled language like Java or C++. As programmer time  is typically more valuable than  CPU time , many are happy to make this tradeoff. However, in an application with very low latency requirements (for ex- ample, a high frequency trading system), the time spent programming in a lower-level, lower-productivity language like C++ to achieve the maximum possible performance might be time well spent.",
19,"Python is not an ideal language for highly concurrent, multithreaded applications, par- ticularly applications with many CPU-bound threads. The reason for this is that it has what is known as the  global interpreter lock  (GIL), a mechanism which prevents the interpreter from executing more than one Python bytecode instruction at a time. The technical reasons for why the GIL exists are beyond the scope of this book, but as of this writing it does not seem likely that the GIL will disappear anytime soon. While it is true that in many big data processing applications, a cluster of computers may be required to process a data set in a reasonable amount of time, there are still situations where a single-process, multithreaded system is desirable.",
19,"This is not to say that Python cannot execute truly multithreaded, parallel code; that code just cannot be executed in a single Python process. As an example, the Cython project features easy integration with OpenMP, a C framework for parallel computing, in order to to parallelize loops and thus significantly speed up numerical algorithms.",
19,Essential Python Libraries,
19,"For those who are less familiar with the scientific Python ecosystem and the libraries used throughout the book, I present the following overview of each library.",
19,Essential Python Libraries | 3,
20,NumPy,
20,"NumPy, short for Numerical Python, is the foundational package for scientific com- puting in Python. The majority of this book will be based on NumPy and libraries built on top of NumPy. It provides, among other things:",
20,"• A fast and efficient multidimensional array object  ndarray • Functions for performing element-wise computations with arrays or mathematical operations between arrays • Tools for reading and writing array-based data sets to disk • Linear algebra operations, Fourier transform, and random number generation • Tools for integrating connecting C, C++, and Fortran code to Python",
20,"Beyond the fast array-processing capabilities that NumPy adds to Python, one of its primary purposes with regards to data analysis is as the primary container for data to be passed between algorithms. For numerical data, NumPy arrays are a much more efficient way of storing and manipulating data than the other built-in Python data structures. Also, libraries written in a lower-level language, such as C or Fortran, can operate on the data stored in a NumPy array without copying any data.",
20,pandas,
20,"pandas provides rich data structures and functions designed to make working with structured data fast, easy, and expressive. It is, as you will see, one of the critical in- gredients enabling Python to be a powerful and productive data analysis environment. The primary object in pandas that will be used in this book is the  DataFrame , a two- dimensional tabular, column-oriented data structure with both row and column labels:",
20,>>> frame     total_bill  tip   sex     smoker  day  time    size 1   16.99       1.01  Female  No      Sun  Dinner  2 2   10.34       1.66  Male    No      Sun  Dinner  3 3   21.01       3.5   Male    No      Sun  Dinner  3 4   23.68       3.31  Male    No      Sun  Dinner  2 5   24.59       3.61  Female  No      Sun  Dinner  4 6   25.29       4.71  Male    No      Sun  Dinner  4 7   8.77        2     Male    No      Sun  Dinner  2 8   26.88       3.12  Male    No      Sun  Dinner  4 9   15.04       1.96  Male    No      Sun  Dinner  2 10  14.78       3.23  Male    No      Sun  Dinner  2,
20,"pandas combines the high performance array-computing features of NumPy with the flexible data manipulation capabilities of spreadsheets and relational databases (such as SQL). It provides sophisticated indexing functionality to make it easy to reshape, slice and dice, perform aggregations, and select subsets of data. pandas is the primary tool that we will use in this book.",
20,4 | Chapter 1:   Preliminaries,
21,"For financial users, pandas features rich, high-performance time series functionality and tools well-suited for working with financial data. In fact, I initially designed pandas as an ideal tool for financial data analysis applications.",
21,"For users of the R language for statistical computing, the DataFrame name will be familiar, as the object was named after the similar R  data.frame  object. They are not the same, however; the functionality provided by  data.frame  in R is essentially a strict subset of that provided by the pandas  DataFrame . While this is a book about Python, I will occasionally draw comparisons with R as it is one of the most widely-used open source data analysis environments and will be familiar to many readers.",
21,"The pandas name itself is derived from  panel data , an econometrics term for multidi- mensional structured data sets, and  Python data analysis  itself.",
21,matplotlib,
21,"matplotlib is the most popular Python library for producing plots and other 2D data visualizations. It was originally created by John D. Hunter (JDH) and is now maintained by a large team of developers. It is well-suited for creating plots suitable for publication. It integrates well with IPython (see below), thus providing a comfortable interactive environment for plotting and exploring data. The plots are also  interactive ; you can zoom in on a section of the plot and pan around the plot using the toolbar in the plot window.",
21,IPython,
21,"IPython is the component in the standard scientific Python toolset that ties everything together. It provides a robust and productive environment for interactive and explor- atory computing. It is an enhanced Python shell designed to accelerate the writing, testing, and debugging of Python code. It is particularly useful for interactively working with data and visualizing data with matplotlib. IPython is usually involved with the majority of my Python work, including running, debugging, and testing code.",
21,"Aside from the standard terminal-based IPython shell, the project also provides",
21,"• A Mathematica-like HTML notebook for connecting to IPython through a web browser (more on this later). • A Qt framework-based GUI console with inline plotting, multiline editing, and syntax highlighting • An infrastructure for interactive parallel and distributed computing",
21,I will devote a chapter to IPython and how to get the most out of its features. I strongly recommend using it while working through this book.,
21,Essential Python Libraries | 5,
22,SciPy,
22,SciPy is a collection of packages addressing a number of different standard problem domains in scientific computing. Here is a sampling of the packages included:,
22,"•  scipy.integrate : numerical integration routines and differential equation solvers •  scipy.linalg : linear algebra routines and matrix decompositions extending be- yond those provided in  numpy.linalg . •  scipy.optimize : function optimizers (minimizers) and root finding algorithms •  scipy.signal : signal processing tools •  scipy.sparse : sparse matrices and sparse linear system solvers •  scipy.special : wrapper around SPECFUN, a Fortran library implementing many common mathematical functions, such as the gamma function •  scipy.stats : standard continuous and discrete probability distributions (density functions, samplers, continuous distribution functions), various statistical tests, and more descriptive statistics •  scipy.weave : tool for using inline C++ code to accelerate array computations",
22,Together NumPy and SciPy form a reasonably complete computational replacement for much of MATLAB along with some of its add-on toolboxes.,
22,Installation and Setup,
22,"Since everyone uses Python for different applications, there is no single solution for setting up Python and required add-on packages. Many readers will not have a complete scientific Python environment suitable for following along with this book, so here I will give detailed instructions to get set up on each operating system. I recommend using one of the following base Python distributions:",
22,"• Enthought Python Distribution: a scientific-oriented Python distribution from En- thought ( http://www.enthought.com ). This includes EPDFree, a free base scientific distribution (with NumPy, SciPy, matplotlib, Chaco, and IPython) and EPD Full, a comprehensive suite of more than 100 scientific packages across many domains. EPD Full is free for academic use but has an annual subscription for non-academic users. • Python(x,y) ( http://pythonxy.googlecode.com ): A free scientific-oriented Python distribution for Windows.",
22,"I will be using EPDFree for the installation guides, though you are welcome to take another approach depending on your needs. At the time of this writing, EPD includes Python 2.7, though this might change at some point in the future. After installing, you will have the following packages installed and importable:",
22,6 | Chapter 1:   Preliminaries,
23,"• Scientific Python base: NumPy, SciPy, matplotlib, and IPython. These are all in- cluded in EPDFree. • IPython Notebook dependencies: tornado and pyzmq. These are included in EPD- Free. • pandas (version 0.8.2 or higher).",
23,"At some point while reading you may wish to install one or more of the following packages: statsmodels, PyTables, PyQt (or equivalently, PySide), xlrd, lxml, basemap, pymongo, and requests. These are used in various examples. Installing these optional libraries is not necessary, and I would would suggest waiting until you need them. For example, installing PyQt or PyTables from source on OS X or Linux can be rather arduous. For now, it’s most important to get up and running with the bare minimum: EPDFree and pandas.",
23,"For information on each Python package and links to binary installers or other help, see the Python Package Index (PyPI,  http://pypi.python.org ). This is also an excellent resource for finding new Python packages.",
23,"To avoid confusion and to keep things simple, I am avoiding discussion of more complex environment management tools like pip and virtua- lenv. There are many excellent guides available for these tools on the Internet.",
23,"Some users may be interested in alternate Python implementations, such as IronPython, Jython, or PyPy. To make use of the tools presented in this book, it is (currently) necessary to use the standard C-based Python interpreter, known as CPython.",
23,Windows,
23,"To get started on Windows, download the EPDFree installer from  http://www.en thought.com , which should be an MSI installer named like  epd_free-7.3-1-win- x86.msi . Run the installer and accept the default installation location  C:\Python27 . If you had previously installed Python in this location, you may want to delete it manually first (or using Add/Remove Programs).",
23,"Next, you need to verify that Python has been successfully added to the system path and that there are no conflicts with any prior-installed Python versions. First, open a command prompt by going to the Start Menu and starting the Command Prompt ap- plication, also known as  cmd.exe . Try starting the Python interpreter by typing python . You should see a message that matches the version of EPDFree you installed:",
23,"C:\Users\Wes>python Python 2.7.3 |EPD_free 7.3-1 (32-bit)| (default, Apr 12 2012, 14:30:37) on win32 Type ""credits"", ""demo"" or ""enthought"" for more information. >>>",
23,Installation and Setup | 7,
24,"If you see a message for a different version of EPD or it doesn’t work at all, you will need to clean up your Windows environment variables. On Windows 7 you can start typing “environment variables” in the programs search field and select  Edit environ ment variables for your account . On Windows XP, you will have to go to  Control Panel > System > Advanced > Environment Variables . On the window that pops up, you are looking for the  Path  variable. It needs to contain the following two directory paths, separated by semicolons:",
24,C:\Python27;C:\Python27\Scripts,
24,"If you installed other versions of Python, be sure to delete any other Python-related directories from both the system and user  Path  variables. After making a path alterna- tion, you have to restart the command prompt for the changes to take effect.",
24,"Once you can launch Python successfully from the command prompt, you need to install pandas. The easiest way is to download the appropriate binary installer from http://pypi.python.org/pypi/pandas . For EPDFree, this should be  pandas-0.9.0.win32- py2.7.exe . After you run this, let’s launch IPython and check that things are installed correctly by importing pandas and making a simple matplotlib plot:",
24,"C:\Users\Wes>ipython --pylab Python 2.7.3 |EPD_free 7.3-1 (32-bit)| Type ""copyright"", ""credits"" or ""license"" for more information.",
24,"IPython 0.12.1 -- An enhanced Interactive Python. ?         -> Introduction and overview of IPython's features. %quickref -> Quick reference. help      -> Python's own help system. object?   -> Details about 'object', use 'object??' for extra details.",
24,"Welcome to pylab, a matplotlib-based Python environment [backend: WXAgg]. For more information, type 'help(pylab)'.",
24,In [1]: import pandas,
24,In [2]: plot(arange(10)),
24,"If successful, there should be no error messages and a plot window will appear. You can also check that the IPython HTML notebook can be successfully run by typing:",
24,$ ipython notebook --pylab=inline,
24,"If you use the IPython notebook application on Windows and normally use Internet Explorer, you will likely need to install and run Mozilla Firefox or Google Chrome instead.",
24,"EPDFree on Windows contains only 32-bit executables. If you want or need a 64-bit setup on Windows, using EPD Full is the most painless way to accomplish that. If you would rather install from scratch and not pay for an EPD subscription, Christoph Gohlke at the University of California, Irvine, publishes unofficial binary installers for",
24,8 | Chapter 1:   Preliminaries,
25,all of the book’s necessary packages ( http://www.lfd.uci.edu/~gohlke/pythonlibs/ ) for 32- and 64-bit Windows.,
25,Apple OS X,
25,"To get started on OS X, you must first install Xcode, which includes Apple’s suite of software development tools. The necessary component for our purposes is the gcc C and C++ compiler suite. The Xcode installer can be found on the OS X install DVD that came with your computer or downloaded from Apple directly.",
25,"Once you’ve installed Xcode, launch the terminal (Terminal.app) by navigating to Applications > Utilities . Type  gcc  and press enter. You should hopefully see some- thing like:",
25,$ gcc i686-apple-darwin10-gcc-4.2.1: no input files,
25,"Now you need to install EPDFree. Download the installer which should be a disk image named something like  epd_free-7.3-1-macosx-i386.dmg . Double-click the  .dmg  file to mount it, then double-click the  .mpkg  file inside to run the installer.",
25,"When the installer runs, it automatically appends the EPDFree executable path to your  .bash_profile  file. This is located at  /Users/your_uname/.bash_profile :",
25,"# Setting PATH for EPD_free-7.3-1 PATH=""/Library/Frameworks/Python.framework/Versions/Current/bin:${PATH}"" export PATH",
25,"Should you encounter any problems in the following steps, you’ll want to inspect your  .bash_profile  and potentially add the above directory to your path.",
25,"Now, it’s time to install pandas. Execute this command in the terminal:",
